cod;nome;período;valor
28;SE;2013;2.55
13;AM;2013;6.083
42;SC;2013;2.807
32;ES;2013;4.45
50;MS;2013;5.562
52;GO;2013;5.26
11;RO;2013;7.116
35;SP;2013;2.629
14;RR;2013;36.132
26;PE;2013;1.586
25;PB;2013;1.61
21;MA;2013;3.137
29;BA;2013;2.67
50;MS;2014;6.41
53;DF;2014;1.953
52;GO;2014;5.83
51;MT;2014;5.94
42;SC;2014;2.939
41;PR;2014;5.36
35;SP;2014;2.397
33;RJ;2014;3.93
32;ES;2014;3.06
28;SE;2014;3.019
43;RS;2014;4.028
27;AL;2014;0.878
26;PE;2014;2.053
25;PB;2014;1.694
24;RN;2014;2.936
23;CE;2014;1.779
22;PI;2014;1.132
31;MG;2014;2.962
29;BA;2014;3.02
21;MA;2014;3.18
17;TO;2014;3.671
16;AP;2014;1.07
15;PA;2014;2.756
12;AC;2014;5.14
14;RR;2014;25.8
13;AM;2014;3.31
11;RO;2014;5.62
53;DF;2015;2.06
16;AP;2015;3.08
26;PE;2015;2.04
22;PI;2015;2.33
27;AL;2015;0.222
29;BA;2015;2.67
52;GO;2015;5.76
13;AM;2015;5.25
51;MT;2015;5.489
23;CE;2015;1.51
14;RR;2015;26.998
50;MS;2015;3.22
43;RS;2015;4.52
42;SC;2015;2.57
31;MG;2015;2.9
21;MA;2015;4.202
12;AC;2015;7.18
24;RN;2015;1.24
41;PR;2015;4.765
35;SP;2015;2.3
25;PB;2015;1.777
11;RO;2015;4.56
33;RJ;2015;3.69
32;ES;2015;2.932
15;PA;2015;2.41
17;TO;2015;4.61
28;SE;2015;1.86
17;TO;2016;5.661
53;DF;2016;1.749
21;MA;2016;3.312
16;AP;2016;2.316
25;PB;2016;1.923
26;PE;2016;2.449
22;PI;2016;0.787
27;AL;2016;1.325
41;PR;2016;4.75
29;BA;2016;3.352
15;PA;2016;1.7
28;SE;2016;1.845
24;RN;2016;2.79
13;AM;2016;5.43
51;MT;2016;4.784
52;GO;2016;4.13
12;AC;2016;5.17
23;CE;2016;1.026
31;MG;2016;2.679
50;MS;2016;5.61
32;ES;2016;2.19
14;RR;2016;21.9
35;SP;2016;2.02
43;RS;2016;5.2
11;RO;2016;6.55
42;SC;2016;2.697
33;RJ;2016;3.549
41;PR;2017;5.181
22;PI;2017;2.583
29;BA;2017;3.452
23;CE;2017;2.385
21;MA;2017;1.733
24;RN;2017;2.54
25;PB;2017;1.51
17;TO;2017;3.54
26;PE;2017;3.15
16;AP;2017;2.446
27;AL;2017;0.228
28;SE;2017;4.56
15;PA;2017;2.42
53;DF;2017;1.9
32;ES;2017;3.148
33;RJ;2017;3.43
35;SP;2017;2.172
12;AC;2017;10.647
42;SC;2017;2.9
43;RS;2017;5.017
14;RR;2017;16.6
50;MS;2017;4.517
51;MT;2017;3.936
13;AM;2017;3.75
11;RO;2017;7.539
52;GO;2017;4.52
31;MG;2017;2.73
25;PB;2018;1.42
13;AM;2018;3.54
52;GO;2018;4.75
33;RJ;2018;3.03
17;TO;2018;5.29
27;AL;2018;0.65
43;RS;2018;4.29
53;DF;2018;2.9
24;RN;2018;2.04
12;AC;2018;5.93
14;RR;2018;32.34
35;SP;2018;1.83
15;PA;2018;3.76
26;PE;2018;2.75
42;SC;2018;2.53
22;PI;2018;1.49
51;MT;2018;2.9
23;CE;2018;3.33
21;MA;2018;1.51
31;MG;2018;2.4
29;BA;2018;3.05
41;PR;2018;3.75
32;ES;2018;2.56
50;MS;2018;4.31
11;RO;2018;4.98
28;SE;2018;2.41
16;AP;2018;2.32
14;RR;2019;19.4
23;CE;2019;1.52
53;DF;2019;2.72
50;MS;2019;5.74
13;AM;2019;6.64
31;MG;2019;2.03
51;MT;2019;5.24
29;BA;2019;1.94
32;ES;2019;1.57
16;AP;2019;1.08
33;RJ;2019;1.99
28;SE;2019;1.2
52;GO;2019;3.15
35;SP;2019;1.71
24;RN;2019;1.47
26;PE;2019;2.71
27;AL;2019;0
12;AC;2019;5.38
41;PR;2019;3.79
25;PB;2019;1.58
11;RO;2019;4.05
21;MA;2019;2.73
42;SC;2019;2.88
15;PA;2019;2.4
43;RS;2019;3.78
22;PI;2019;3.31
17;TO;2019;1.7
32;ES;2020;2
25;PB;2020;2.36
23;CE;2020;1.6
41;PR;2020;3.74
43;RS;2020;3.46
50;MS;2020;5.08
51;MT;2020;4.6
14;RR;2020;27
15;PA;2020;2.85
29;BA;2020;2.84
22;PI;2020;3.12
42;SC;2020;2.19
31;MG;2020;2.41
11;RO;2020;4.03
27;AL;2020;0
35;SP;2020;1.69
21;MA;2020;2.48
13;AM;2020;5.74
53;DF;2020;2.34
12;AC;2020;7.23
17;TO;2020;3.62
24;RN;2020;1.81
52;GO;2020;2.71
28;SE;2020;2.59
26;PE;2020;2.57
16;AP;2020;1.2
33;RJ;2020;2.01
26;PE;2021;2.73
28;SE;2021;1.08
15;PA;2021;2.12
53;DF;2021;2.83
17;TO;2021;7.89
32;ES;2021;3.32
33;RJ;2021;2.47
24;RN;2021;1.35
35;SP;2021;1.42
12;AC;2021;2.59
23;CE;2021;2.71
41;PR;2021;3.09
29;BA;2021;3.24
42;SC;2021;2.63
21;MA;2021;2.59
43;RS;2021;3.82
14;RR;2021;10.4
50;MS;2021;3.81
22;PI;2021;3.9
51;MT;2021;3.61
13;AM;2021;6.94
52;GO;2021;3.75
11;RO;2021;6.48
27;AL;2021;0
16;AP;2021;0
31;MG;2021;1.9
25;PB;2021;2.19
43;RS;2022;4.15
29;BA;2022;2.53
51;MT;2022;4.36
27;AL;2022;0.8
11;RO;2022;6.17
31;MG;2022;2.28
42;SC;2022;2.55
41;PR;2022;4.31
52;GO;2022;3.78
23;CE;2022;1.98
